TABLE:  Element Forces - Columns,,,,,,,,,,,,,,
Story,Column,Unique Name,Output Case,Case Type,Station,P,V2,V3,T,M2,M3,Element,Elem Station,Location
,,,,,m,kN,kN,kN,kN-m,kN-m,kN-m,,m,
Roof,C82,300,"Qk_Cat.A,B,C,D,F,H",LinStatic,3.225,-12.6871,8.9268,-5.1148,-0.0596,8.811,-6.9109,300,3.225,
Roof,C82,300,"Qk_Cat.E,Partition,NR Live",LinStatic,0,0.0398,0.0471,0.0158,-0.0024,0.0241,0.2391,300,0,
Roof,C82,300,"Qk_Cat.E,Partition,NR Live",LinStatic,1.6125,0.0398,0.0471,0.0158,-0.0024,-0.0015,0.1632,300,1.6125,
Roof,C82,300,"Qk_Cat.E,Partition,NR Live",LinStatic,3.225,0.0398,0.0471,0.0158,-0.0024,-0.027,0.0872,300,3.225,
Roof,C123,301,Gk,LinStatic,0,-46.1514,-10.0118,9.4628,0.8573,8.0479,-4.9257,301,0,
Roof,C123,301,Gk,LinStatic,1.6125,-36.3958,-10.0118,9.4628,0.8573,-7.211,11.2183,301,1.6125,
Roof,C123,301,Gk,LinStatic,3.225,-26.6402,-10.0118,9.4628,0.8573,-22.4698,27.3623,301,3.225,
Roof,C123,301,Qk,LinStatic,0,2.5053,-1.6012,0.6293,0.0543,1.0887,-0.2907,301,0,
Roof,C123,301,Qk,LinStatic,1.6125,2.5053,-1.6012,0.6293,0.0543,0.074,2.2912,301,1.6125,
Roof,C123,301,Qk,LinStatic,3.225,2.5053,-1.6012,0.6293,0.0543,-0.9407,4.8732,301,3.225,
Roof,C123,301,"Qk_Cat.A,B,C,D,F,H",LinStatic,0,2.5066,-1.6141,0.5989,0.0569,1.0382,-0.3884,301,0,
Roof,C123,301,"Qk_Cat.A,B,C,D,F,H",LinStatic,1.6125,2.5066,-1.6141,0.5989,0.0569,0.0725,2.2143,301,1.6125,
Roof,C123,301,"Qk_Cat.A,B,C,D,F,H",LinStatic,3.225,2.5066,-1.6141,0.5989,0.0569,-0.8932,4.8171,301,3.225,
Roof,C123,301,"Qk_Cat.E,Partition,NR Live",LinStatic,0,-0.0013,0.0129,0.0304,-0.0026,0.0505,0.0977,301,0,
Roof,C123,301,"Qk_Cat.E,Partition,NR Live",LinStatic,1.6125,-0.0013,0.0129,0.0304,-0.0026,0.0015,0.0769,301,1.6125,
Roof,C123,301,"Qk_Cat.E,Partition,NR Live",LinStatic,3.225,-0.0013,0.0129,0.0304,-0.0026,-0.0475,0.0561,301,3.225,
Roof,C124,302,Gk,LinStatic,0,-157.9159,4.8859,-44.5753,0.8573,-68.988,21.3104,302,0,
Roof,C124,302,Gk,LinStatic,1.6125,-148.1603,4.8859,-44.5753,0.8573,2.8896,13.4319,302,1.6125,
Roof,C124,302,Gk,LinStatic,3.225,-138.4047,4.8859,-44.5753,0.8573,74.7672,5.5534,302,3.225,
Roof,C124,302,Qk,LinStatic,0,-9.5631,0.7113,-4.3687,0.0543,-7.5022,3.002,302,0,
Roof,C124,302,Qk,LinStatic,1.6125,-9.5631,0.7113,-4.3687,0.0543,-0.4577,1.855,302,1.6125,
Roof,C124,302,Qk,LinStatic,3.225,-9.5631,0.7113,-4.3687,0.0543,6.5869,0.7081,302,3.225,
Roof,C124,302,"Qk_Cat.A,B,C,D,F,H",LinStatic,0,-9.4875,0.7822,-4.3779,0.0569,-7.5173,3.0642,302,0,
Roof,C124,302,"Qk_Cat.A,B,C,D,F,H",LinStatic,1.6125,-9.4875,0.7822,-4.3779,0.0569,-0.458,1.8029,302,1.6125,
Roof,C124,302,"Qk_Cat.A,B,C,D,F,H",LinStatic,3.225,-9.4875,0.7822,-4.3779,0.0569,6.6013,0.5415,302,3.225,
Roof,C124,302,"Qk_Cat.E,Partition,NR Live",LinStatic,0,-0.0756,-0.0709,0.0091,-0.0026,0.0151,-0.0622,302,0,
Roof,C124,302,"Qk_Cat.E,Partition,NR Live",LinStatic,1.6125,-0.0756,-0.0709,0.0091,-0.0026,0.0003,0.0522,302,1.6125,
Roof,C124,302,"Qk_Cat.E,Partition,NR Live",LinStatic,3.225,-0.0756,-0.0709,0.0091,-0.0026,-0.0144,0.1665,302,3.225,
Roof,C125,303,Gk,LinStatic,0,-109.5571,-57.1933,9.3167,-0.2312,13.4752,-58.476,303,0,
Roof,C125,303,Gk,LinStatic,1.6125,-99.8014,-57.1933,9.3167,-0.2312,-1.548,33.7482,303,1.6125,
Roof,C125,303,Gk,LinStatic,3.225,-90.0458,-57.1933,9.3167,-0.2312,-16.5713,125.9723,303,3.225,
Roof,C125,303,Qk,LinStatic,0,-3.7823,-4.7326,0.1125,-0.0447,0.4309,-6.6281,303,0,
Roof,C125,303,Qk,LinStatic,1.6125,-3.7823,-4.7326,0.1125,-0.0447,0.2496,1.0032,303,1.6125,
Roof,C125,303,Qk,LinStatic,3.225,-3.7823,-4.7326,0.1125,-0.0447,0.0682,8.6344,303,3.225,
Roof,C125,303,"Qk_Cat.A,B,C,D,F,H",LinStatic,0,-3.8329,-4.8312,0.0971,-0.0405,0.4034,-6.6727,303,0,
Roof,C125,303,"Qk_Cat.A,B,C,D,F,H",LinStatic,1.6125,-3.8329,-4.8312,0.0971,-0.0405,0.2469,1.1177,303,1.6125,
Roof,C125,303,"Qk_Cat.A,B,C,D,F,H",LinStatic,3.225,-3.8329,-4.8312,0.0971,-0.0405,0.0904,8.908,303,3.225,
Roof,C125,303,"Qk_Cat.E,Partition,NR Live",LinStatic,0,0.0507,0.0987,0.0154,-0.0042,0.0275,0.0446,303,0,
Roof,C125,303,"Qk_Cat.E,Partition,NR Live",LinStatic,1.6125,0.0507,0.0987,0.0154,-0.0042,0.0027,-0.1145,303,1.6125,
Roof,C125,303,"Qk_Cat.E,Partition,NR Live",LinStatic,3.225,0.0507,0.0987,0.0154,-0.0042,-0.0222,-0.2736,303,3.225,
Roof,C126,304,Gk,LinStatic,0,-151.1744,69.9147,33.8365,-0.2312,52.1767,101.4154,304,0,
Roof,C126,304,Gk,LinStatic,1.6125,-141.4188,69.9147,33.8365,-0.2312,-2.3847,-11.3219,304,1.6125,
Roof,C126,304,Gk,LinStatic,3.225,-131.6631,69.9147,33.8365,-0.2312,-56.9461,-124.0593,304,3.225,
Roof,C126,304,Qk,LinStatic,0,-6.219,5.7454,1.4804,-0.0447,2.6216,9.9357,304,0,
Roof,C126,304,Qk,LinStatic,1.6125,-6.219,5.7454,1.4804,-0.0447,0.2345,0.6712,304,1.6125,
Roof,C126,304,Qk,LinStatic,3.225,-6.219,5.7454,1.4804,-0.0447,-2.1525,-8.5932,304,3.225,
Roof,C126,304,"Qk_Cat.A,B,C,D,F,H",LinStatic,0,-6.0411,5.652,1.3961,-0.0405,2.4897,9.8948,304,0,
Roof,C126,304,"Qk_Cat.A,B,C,D,F,H",LinStatic,1.6125,-6.0411,5.652,1.3961,-0.0405,0.2384,0.7811,304,1.6125,
Roof,C126,304,"Qk_Cat.A,B,C,D,F,H",LinStatic,3.225,-6.0411,5.652,1.3961,-0.0405,-2.0128,-8.3327,304,3.225,
Roof,C126,304,"Qk_Cat.E,Partition,NR Live",LinStatic,0,-0.1778,0.0934,0.0842,-0.0042,0.132,0.0408,304,0,
Roof,C126,304,"Qk_Cat.E,Partition,NR Live",LinStatic,1.6125,-0.1778,0.0934,0.0842,-0.0042,-0.0039,-0.1098,304,1.6125,
Roof,C126,304,"Qk_Cat.E,Partition,NR Live",LinStatic,3.225,-0.1778,0.0934,0.0842,-0.0042,-0.1397,-0.2605,304,3.225,
Roof,C127,305,Gk,LinStatic,0,-151.9474,69.7474,-34.3566,0.1985,-52.8213,101.1644,305,0,
Roof,C127,305,Gk,LinStatic,1.6125,-142.1918,69.7474,-34.3566,0.1985,2.5787,-11.3034,305,1.6125,
Roof,C127,305,Gk,LinStatic,3.225,-132.4361,69.7474,-34.3566,0.1985,57.9788,-123.7711,305,3.225,
Roof,C127,305,Qk,LinStatic,0,-5.6129,5.5763,-1.1355,0.0245,-2.0668,10.1044,305,0,
Roof,C127,305,Qk,LinStatic,1.6125,-5.6129,5.5763,-1.1355,0.0245,-0.2358,1.1126,305,1.6125,
Roof,C127,305,Qk,LinStatic,3.225,-5.6129,5.5763,-1.1355,0.0245,1.5952,-7.8791,305,3.225,
Roof,C127,305,"Qk_Cat.A,B,C,D,F,H",LinStatic,0,-5.6105,5.5499,-1.1388,0.0262,-2.0719,10.0342,305,0,
Roof,C127,305,"Qk_Cat.A,B,C,D,F,H",LinStatic,1.6125,-5.6105,5.5499,-1.1388,0.0262,-0.2356,1.085,305,1.6125,
Roof,C127,305,"Qk_Cat.A,B,C,D,F,H",LinStatic,3.225,-5.6105,5.5499,-1.1388,0.0262,1.6006,-7.8643,305,3.225,
Roof,C127,305,"Qk_Cat.E,Partition,NR Live",LinStatic,0,-0.0024,0.0264,0.0033,-0.0017,0.0051,0.0702,305,0,
Roof,C127,305,"Qk_Cat.E,Partition,NR Live",LinStatic,1.6125,-0.0024,0.0264,0.0033,-0.0017,-0.0002,0.0277,305,1.6125,
Roof,C127,305,"Qk_Cat.E,Partition,NR Live",LinStatic,3.225,-0.0024,0.0264,0.0033,-0.0017,-0.0054,-0.0148,305,3.225,
Roof,C128,306,Gk,LinStatic,0,-109.51,-56.8667,-9.0254,0.1985,-12.9161,-57.3042,306,0,
Roof,C128,306,Gk,LinStatic,1.6125,-99.7543,-56.8667,-9.0254,0.1985,1.6374,34.3934,306,1.6125,
Roof,C128,306,Gk,LinStatic,3.225,-89.9987,-56.8667,-9.0254,0.1985,16.1909,126.091,306,3.225,
Roof,C128,306,Qk,LinStatic,0,-3.7076,-4.8728,0.1142,0.0245,-0.0607,-6.3323,306,0,
Roof,C128,306,Qk,LinStatic,1.6125,-3.7076,-4.8728,0.1142,0.0245,-0.2448,1.5252,306,1.6125,
Roof,C128,306,Qk,LinStatic,3.225,-3.7076,-4.8728,0.1142,0.0245,-0.4289,9.3826,306,3.225,
Roof,C128,306,"Qk_Cat.A,B,C,D,F,H",LinStatic,0,-3.7317,-4.8983,0.0983,0.0262,-0.0845,-6.4029,306,0,
Roof,C128,306,"Qk_Cat.A,B,C,D,F,H",LinStatic,1.6125,-3.7317,-4.8983,0.0983,0.0262,-0.2431,1.4957,306,1.6125,
Roof,C128,306,"Qk_Cat.A,B,C,D,F,H",LinStatic,3.225,-3.7317,-4.8983,0.0983,0.0262,-0.4016,9.3942,306,3.225,
Roof,C128,306,"Qk_Cat.E,Partition,NR Live",LinStatic,0,0.0241,0.0255,0.0158,-0.0017,0.0237,0.0706,306,0,
Roof,C128,306,"Qk_Cat.E,Partition,NR Live",LinStatic,1.6125,0.0241,0.0255,0.0158,-0.0017,-0.0018,0.0295,306,1.6125,
